id	proyecto	ml	manzana	lote	area_m2	perimetro	uso	Etapa	lat	long
	1	AA-2	AA	2	213.97	61.87	VIVIENDA	5	-4.07770134	-81.02203337
	1	AA-3	AA	3	220	64	VIVIENDA	5	-4.077614322	-81.02200602
	1	AA-4	AA	4	220	64	VIVIENDA	5	-4.077526223	-81.02198554
	1	AA-5	AA	5	220	64	VIVIENDA	5	-4.077438123	-81.02196505
	1	AA-6	AA	6	220	64	VIVIENDA	5	-4.077350024	-81.02194457
	1	AA-7	AA	7	220	64	VIVIENDA	5	-4.077261925	-81.02192409
	1	AA-8	AA	8	220	64	VIVIENDA	5	-4.077173826	-81.0219036
	1	AA-9	AA	9	220	64	VIVIENDA	5	-4.077085726	-81.02188312
	1	AA-10	AA	10	260.2	68.19	VIVIENDA	5	-4.076986445	-81.02186884
	1	AA-1	AA	1	151.9	50.03	VIVIENDA	5	-4.077785988	-81.02207362
	1	AA-11	AA	11	258.1	67.62	VIVIENDA	5	-4.07688025	-81.02183385
	1	AA-12	AA	12	291.74	70.3	VIVIENDA	5	-4.076817237	-81.02169425
	1	AA-13	AA	13	283.22	69.02	VIVIENDA	5	-4.076855838	-81.02156594
	1	AA-14	AA	14	295.92	68.06	VIVIENDA	5	-4.077056881	-81.02161476
	1	AA-15	AA	15	227.52	62.32	VIVIENDA	5	-4.077172884	-81.02165095
	1	AA-16	AA	16	177.1	54.36	VIVIENDA	5	-4.07728355	-81.02170085
	1	AB-20	AB	20	154.76	50.12	VIVIENDA	5	-4.075455951	-81.02129457
	1	AB-21	AB	21	169.51	52.68	VIVIENDA	5	-4.075548519	-81.02132802
	1	AB-22	AB	22	169.51	52.65	VIVIENDA	5	-4.075646375	-81.02135749
	1	AB-23	AB	23	169.52	52.62	VIVIENDA	5	-4.075744754	-81.02138519
	1	AB-24	AB	24	169.52	52.61	VIVIENDA	5	-4.075843625	-81.0214111
	1	AB-25	AB	25	169.52	52.6	VIVIENDA	5	-4.075942953	-81.02143522
	1	AB-26	AB	26	169.51	52.61	VIVIENDA	5	-4.076042701	-81.02145754
	1	AB-27	AB	27	169.53	52.62	VIVIENDA	5	-4.076142844	-81.02147804
	1	AB-28	AB	28	169.51	52.64	VIVIENDA	5	-4.076243344	-81.02149674
	1	AB-29	AB	29	169.33	52.66	VIVIENDA	5	-4.076344175	-81.02151354
	1	AB-30	AB	30	152.98	49.57	VIVIENDA	5	-4.076441177	-81.02152571
	1	AB-1	AB	1	131.47	47.94	VIVIENDA	5	-4.076615804	-81.02152184
	1	AB-4	AB	4	188.49	55.93	VIVIENDA	5	-4.07644024	-81.02175535
	1	AB-2	AB	2	140.6	49.63	VIVIENDA	5	-4.076591083	-81.02160127
	1	AB-3	AB	3	155.56	51.99	VIVIENDA	5	-4.07655441	-81.02168329
	1	AB-16	AB	16	179.04	55.43	VIVIENDA	5	-4.07536287	-81.02149861
	1	AB-17	AB	17	151.95	51.32	VIVIENDA	5	-4.07528877	-81.02139407
	1	AB-18	AB	18	148.34	50.4	VIVIENDA	5	-4.075288062	-81.02130251
	1	AB-19	AB	19	135.17	48.2	VIVIENDA	5	-4.075299775	-81.02121665
	1	AD-3	AD	3	162.97	51.75	VIVIENDA	5	-4.076009937	-81.02078991
	1	AD-4	AD	4	162.97	51.74	VIVIENDA	5	-4.075914853	-81.02076507
	1	AD-5	AD	5	162.97	51.74	VIVIENDA	5	-4.075820282	-81.02073836
	1	AD-6	AD	6	162.97	51.74	VIVIENDA	5	-4.075726266	-81.02070978
	1	AD-7	AD	7	162.97	51.74	VIVIENDA	5	-4.075633055	-81.0206787
	1	AD-8	AD	8	162.97	51.74	VIVIENDA	5	-4.075539946	-81.0206473
	1	AD-9	AD	9	164.01	51.79	VIVIENDA	5	-4.075446269	-81.02061661
	1	AD-2	AD	2	172.25	52.98	VIVIENDA	5	-4.076143657	-81.02082086
	1	AD-1	AD	1	172.25	52.97	VIVIENDA	5	-4.076245179	-81.02084283
	1	AD-10	AD	10	183.94	54.7	VIVIENDA	5	-4.075531941	-81.02043464
	1	AD-11	AD	11	175.74	53.43	VIVIENDA	5	-4.075635281	-81.02046759
	1	AD-12	AD	12	179.46	53.93	VIVIENDA	5	-4.075736523	-81.02050243
	1	AD-13	AD	13	179.34	53.91	VIVIENDA	5	-4.075839585	-81.02053522
	1	AD-14	AD	14	179.34	53.91	VIVIENDA	5	-4.075943443	-81.02056531
	1	AD-15	AD	15	159.36	50.28	VIVIENDA	5	-4.076042299	-81.02059708
	1	AG-5	AG	5	169.99	54	VIVIENDA	5	-4.074827358	-81.02138117
	1	AG-5	AG	5	169.99	54	VIVIENDA	5	-4.074827358	-81.02138117
	1	AG-6	AG	6	169.98	54	VIVIENDA	5	-4.074739258	-81.02136068
	1	AG-7	AG	7	169.99	54	VIVIENDA	5	-4.074651159	-81.0213402
	1	AG-8	AG	8	169.99	54	VIVIENDA	5	-4.07456306	-81.02131972
	1	AG-9	AG	9	169.98	54	VIVIENDA	5	-4.074474961	-81.02129923
	1	AG-10	AG	10	169.98	54	VIVIENDA	5	-4.074386862	-81.02127875
	1	AG-11	AG	11	169.99	54	VIVIENDA	5	-4.074298762	-81.02125827
	1	AG-15	AG	15	150.62	48.88	VIVIENDA	5	-4.074296661	-81.0210585
	1	AG-16	AG	16	183.38	54.76	VIVIENDA	5	-4.074393373	-81.02108089
	1	AG-17	AG	17	193.47	56.52	VIVIENDA	5	-4.074498312	-81.02110115
	1	AG-18	AG	18	207.39	58.95	VIVIENDA	5	-4.074603299	-81.02111982
	1	AG-19	AG	19	225.11	61.91	VIVIENDA	5	-4.074708249	-81.02113708
	1	AG-20	AG	20	242.13	64.65	VIVIENDA	5	-4.074812868	-81.02115513
	1	AG-21	AG	21	228.6	62.34	VIVIENDA	5	-4.074912308	-81.0211754
	1	AL-1	AL	1	165.46	52.26	VIVIENDA	5	-4.073919614	-81.02095708
	1	AL-4	AL	4	170	54	VIVIENDA	5	-4.073685338	-81.02111563
	1	AL-5	AL	5	170	54	VIVIENDA	5	-4.073597239	-81.02109515
	1	AL-6	AL	6	170	54	VIVIENDA	5	-4.073509139	-81.02107467
	1	AL-7	AL	7	170	54	VIVIENDA	5	-4.07342104	-81.02105418
	1	AL-8	AL	8	170	54	VIVIENDA	5	-4.073332941	-81.0210337
	1	AL-9	AL	9	170	54	VIVIENDA	5	-4.073244842	-81.02101322
	1	AL-10	AL	10	170	54	VIVIENDA	5	-4.073156742	-81.02099273
	1	AL-11	AL	11	170	54	VIVIENDA	5	-4.073068643	-81.02097225
	1	AL-12	AL	12	170	54	VIVIENDA	5	-4.072980544	-81.02095177
	1	AL-13	AL	13	170	54	VIVIENDA	5	-4.072892445	-81.02093128
	1	AL-14	AL	14	170	54	VIVIENDA	5	-4.072804345	-81.0209108
	1	AL-15	AL	15	170	54	VIVIENDA	5	-4.072716246	-81.02089031
	1	AL-2	AL	2	179.94	55.01	VIVIENDA	5	-4.073894925	-81.02106297
	1	AL-3	AL	3	169.34	53.08	VIVIENDA	5	-4.07377641	-81.02113839
	1	AL-16	AL	16	206.03	58.24	VIVIENDA	5	-4.072618816	-81.02086764
	1	AL-17	AL	17	220	64	VIVIENDA	5	-4.072702244	-81.0207065
	1	AL-18	AL	18	220	64	VIVIENDA	5	-4.072722694	-81.02061874
	1	AL-19	AL	19	220	64	VIVIENDA	5	-4.072743144	-81.02053098
	1	AL-20	AL	20	220	64	VIVIENDA	5	-4.072763594	-81.02044322
	1	AL-21	AL	21	220	64	VIVIENDA	5	-4.072784044	-81.02035546
	1	AL-22	AL	22	220	64	VIVIENDA	5	-4.072804494	-81.0202677
	1	AL-23	AL	23	220	64	VIVIENDA	5	-4.072824945	-81.02017993
	1	AL-24	AL	24	220	64	VIVIENDA	5	-4.072845395	-81.02009217
	1	AL-25	AL	25	220	64	VIVIENDA	5	-4.072865845	-81.02000441
	1	AL-26	AL	26	220	64	VIVIENDA	5	-4.072886295	-81.01991665
	1	AL-27	AL	27	220	64	VIVIENDA	5	-4.072906745	-81.01982889
	1	AL-28	AL	28	210.57	63.16	VIVIENDA	5	-4.07292808	-81.01974329
	1	AL-29	AL	29	228.59	64.79	VIVIENDA	5	-4.072954132	-81.01962003
	1	AL-31	AL	31	147.64	49.69	VIVIENDA	5	-4.073203009	-81.01958245
	1	AL-32	AL	32	146.04	49.47	VIVIENDA	5	-4.07318635	-81.01966912
	1	AL-33	AL	33	145.06	49.33	VIVIENDA	5	-4.07316225	-81.0197903
	1	AL-34	AL	34	144.63	49.27	VIVIENDA	5	-4.073145255	-81.01987575
	1	AL-35	AL	35	155.76	50.75	VIVIENDA	5	-4.073127363	-81.01996439
	1	AL-36	AL	36	156.64	50.87	VIVIENDA	5	-4.073118233	-81.02005802
	1	AL-38	AL	38	156.6	50.86	VIVIENDA	5	-4.073130694	-81.02024606
	1	AL-39	AL	39	156.58	50.86	VIVIENDA	5	-4.073152067	-81.02033798
	1	AL-40	AL	40	156.61	50.86	VIVIENDA	5	-4.073183243	-81.0204271
	1	AL-41	AL	41	159.11	51.22	VIVIENDA	5	-4.073223946	-81.02051321
	1	AL-42	AL	42	161.03	51.47	VIVIENDA	5	-4.073295899	-81.02062445
	1	AL-43	AL	43	158.78	51.17	VIVIENDA	5	-4.073358608	-81.0206976
	1	AL-44	AL	44	158.79	51.17	VIVIENDA	5	-4.073428231	-81.02076322
	1	AL-45	AL	45	158.79	51.17	VIVIENDA	5	-4.073504612	-81.02082091
	1	AL-46	AL	46	158.79	51.17	VIVIENDA	5	-4.073586844	-81.02086998
	1	AL-47	AL	47	158.79	51.17	VIVIENDA	5	-4.073673949	-81.02090985
	1	AL-48	AL	48	160.53	51.41	VIVIENDA	5	-4.073765355	-81.0209404
	1	AL-37	AL	37	156.62	50.86	VIVIENDA	5	-4.073119372	-81.02015237
	1	AG-12	AG	12	175.83	54.5	VIVIENDA	5	-4.07420522	-81.02124051
	1	AG-1	AG	1	153.13	50.33	VIVIENDA	5	-4.075080374	-81.02115822
	1	AG-14	AG	14	180.95	54.22	VIVIENDA	5	-4.074137295	-81.02101229
	1	AG-2	AG	2	153.87	50.78	VIVIENDA	5	-4.075073451	-81.02125097
	1	AG-3	AG	3	163.79	52.5	VIVIENDA	5	-4.075042851	-81.02134216
	1	AG-13	AG	13	196.96	56.67	VIVIENDA	5	-4.074121684	-81.02112576
	1	AG-4	AG	4	186.41	55.79	VIVIENDA	5	-4.074922321	-81.02140556
	1	AJ-1	AJ	1	179.88	53.87	VIVIENDA	5	-4.075416097	-81.02016615
	1	AJ-2	AJ	2	175.32	53.38	VIVIENDA	5	-4.075312189	-81.02014013
